Word,Number of morphemes,Number of Letters,Number of Syllables,Number of Phonemes,Orthographic N,OLD20,PN_Std,PLD20_Std,PN_Singapore,PLD20_Singapore,PN_NonStd,PLD_NonStd,freq_singapore/million,lg_freq_singapore,freq_malaysia/million,lg_freq_malaysia,LDT_RT,LDT_ACC,NMG_RT,NMG_ACC
aba,1,3,2,3,6,1.4000,7,1.3500,7,1.3500,3,1.6000,0.20,0.08,1.87,0.46,,,,
abad,1,4,2,4,4,1.6000,9,1.3500,9,1.3500,9,1.3500,69.80,1.85,15.89,1.23,,,,
abadi,1,5,3,5,0,1.8000,0,1.8500,0,1.8500,0,1.8500,20.60,1.33,21.96,1.36,,,,
abah,1,4,2,4,8,1.4000,8,1.4000,8,1.4000,8,1.4000,18.40,1.29,2.80,0.58,,,,
abai,1,4,2,3,7,1.5000,6,1.6500,6,1.6500,6,1.6500,1.20,0.34,3.74,0.68,693.9024,0.9318,484.1220,0.9318
abang,1,5,2,4,4,1.6500,6,1.5000,6,1.5000,6,1.5000,174.60,2.24,39.72,1.61,524.8605,0.9773,456.9773,1.0000
abdi,1,4,2,4,1,1.9000,0,1.9500,0,1.9500,0,1.9500,2.40,0.53,2.34,0.52,,,,
abjad,1,5,2,5,0,2.3500,0,1.9500,0,1.9500,0,1.9500,4.40,0.73,1.40,0.38,,,,
abon,1,4,2,4,0,2.0000,0,2.0000,3,1.8000,3,1.8000,0.60,0.20,4.67,0.75,,,,
abu,1,3,2,3,7,1.4500,8,1.4000,8,1.4000,8,1.4000,238.80,2.38,215.42,2.34,,,,
acah,1,4,2,4,8,1.6000,8,1.6000,8,1.6000,8,1.6000,0.00,0.00,0.47,0.17,,,,
acap,1,4,2,4,5,1.7000,6,1.6500,6,1.6500,6,1.6500,2.00,0.48,1.40,0.38,755.9565,0.5227,483.7907,0.9773
acapkali,2,8,4,8,0,3.9500,0,4.2000,0,4.2000,0,4.2500,1.20,0.34,0.93,0.29,,,,
acar,1,4,2,4,7,1.5500,7,1.6000,7,1.6000,7,1.6000,6.20,0.86,0.47,0.17,,,,
acara,1,5,3,5,0,1.9000,0,1.9500,0,1.9500,0,1.9500,714.60,2.85,"1,148.13",3.06,551.3256,0.9773,448.7500,1.0000
aci,1,3,2,3,4,1.8000,4,1.8000,4,1.8000,4,1.8000,0.20,0.08,2.34,0.52,736.2381,0.4773,457.1395,0.9773
acuan,1,5,3,6,2,1.8500,2,1.8500,2,1.8500,2,1.8500,11.40,1.09,5.61,0.82,,,,
acuh,1,4,2,4,3,1.8500,4,1.8000,2,1.9000,3,1.8500,10.00,1.04,4.67,0.75,,,,
acung,1,5,2,4,2,1.9000,3,1.8500,1,1.9500,0,2.0000,0.00,0.00,0.47,0.17,,,,
ada,1,3,2,3,6,1.2000,7,1.2000,7,1.2000,4,1.5500,"3,371.80",3.53,"2,427.57",3.39,,,,
adab,1,4,2,4,4,1.7500,3,1.8000,3,1.8000,3,1.8500,30.00,1.49,7.94,0.95,,,,
adai,1,4,2,3,7,1.4500,5,1.6000,5,1.6000,5,1.6000,0.00,0.00,0.93,0.29,,,,
adakalanya,2,10,5,10,0,4.9500,0,5.4500,0,5.4500,0,5.7500,7.40,0.92,7.48,0.93,,,,
adan,1,4,2,4,7,1.4500,7,1.5000,7,1.5000,7,1.5500,1.20,0.34,23.36,1.39,,,,
adat,1,4,2,4,6,1.5500,8,1.4500,8,1.4500,8,1.5000,69.40,1.85,16.82,1.25,,,,
adegan,1,6,3,6,0,2.5000,0,2.7000,0,2.6500,0,2.6500,47.80,1.69,30.84,1.50,,,,
adik,1,4,2,4,3,1.8500,4,1.8000,4,1.7500,4,1.7500,123.60,2.10,66.82,1.83,,,,
adil,1,4,2,4,3,1.8000,3,1.8000,2,1.9000,2,1.9000,102.60,2.02,65.42,1.82,,,,
adinda,1,6,3,6,0,2.7500,0,2.8000,0,2.8000,0,2.9500,0.80,0.26,1.40,0.38,,,,
aduan,2,5,3,6,2,1.7500,2,1.8500,2,1.8500,2,1.8500,67.80,1.84,16.36,1.24,,,,
aduh,1,4,2,4,4,1.7500,4,1.7500,3,1.8000,4,1.7500,8.20,0.96,3.27,0.63,589.0833,0.8182,476.7273,1.0000
aduk,1,4,2,4,4,1.7000,4,1.7000,4,1.6500,4,1.6500,2.00,0.48,0.93,0.29,,,,
adun,1,4,2,4,6,1.6500,6,1.7000,6,1.7000,6,1.7000,28.00,1.46,4.67,0.75,,,,
agak,1,4,2,4,6,1.6500,6,1.6500,6,1.6500,6,1.6500,467.60,2.67,473.83,2.68,,,,
agakan,2,6,3,6,2,1.9000,2,1.9000,2,1.9000,2,1.9000,0.00,0.00,0.93,0.29,,,,
agal,1,4,2,4,8,1.5000,8,1.5000,8,1.5000,8,1.5000,0.00,0.00,2.34,0.52,,,,
agama,1,5,3,5,0,2.0000,0,2.0000,0,2.0000,0,2.3500,876.00,2.94,98.13,2.00,,,,
agar,1,4,2,4,7,1.5500,7,1.5000,7,1.5000,7,1.5000,"1,163.40",3.07,108.41,2.04,,,,
agih,1,4,2,4,1,1.9000,1,1.9000,2,1.8500,2,1.8500,2.40,0.53,1.87,0.46,686.5294,0.7727,478.6190,0.9545
agihan,2,6,3,6,0,2.5500,0,2.5500,0,2.7000,0,2.7000,17.80,1.27,8.88,0.99,,,,
agong,1,5,2,4,1,1.9000,1,1.9000,1,1.7500,1,1.7500,8.60,0.98,15.42,1.22,,,,
agung,1,5,2,4,3,1.8000,4,1.7500,1,1.7500,1,1.7500,145.60,2.17,161.68,2.21,,,,
agus,1,4,2,4,1,1.8500,2,1.8000,0,1.9500,0,1.9500,1.80,0.45,5.14,0.79,,,,
